vehicle_id,driver_id,driver_name,manufacturer,monthly_revenue_generation,yearly_revenue,maintenance_cost,driver_revenue,battery_percentage,expected_distance_km,trip_speed_kmph,vehicle_status,date,time,violations
EV-100,100,Abinaya,Tata,24406.81,0,12263.51,2289.16,88,332.15,61.12,Running,22-02-2025,17.08,Speeding
EV-872,872,Janani,Maruti,23923.42,253022.91,19376.62,3567.22,69,387.54,62.28,Running,22-06-2024,10.57,Harsh Braking
EV-664,664,Arun,Mahindra,288532.65,3433885.28,13686.83,4239.36,81,481.16,67.35,Running,19-10-2024,16.58,Route Deviation
EV-131,131,Sowmya,BMW,25708.95,298265.94,12550.58,1464.2,62,230.53,0,Charging,10-03-2024,7.02,Overcharging
EV-662,662,Gopal,Tesla,138889.42,1668784.99,13589.72,3095.23,48,210.23,59.06,Running,14-11-2024,14.54,None
EV-309,309,Nandhini,Tata,270840.39,2853816.45,10739.81,2337.43,81,463.19,0,Maintenance,21-01-2024,10.21,Speeding
EV-770,770,Malathi,Maruti,155859.29,1885945.66,34167.88,1912.22,18,79.4,0,Charging,08-07-2025,10.51,Harsh Braking
EV-344,344,Suriya,Mahindra,265326.57,3114690.21,12111.58,3168.28,80,343.59,35.15,Running,22-03-2025,10.02,Route Deviation
EV-492,492,Vasanthi,BMW,206040.75,2583946.17,29044.83,4043.53,56,334.94,68.28,Running,19-10-2024,17.38,Overcharging
EV-414,414,Chitra,Tesla,235713.57,2665310.91,14137.02,2793.35,38,154.2,38.13,Running,28-07-2025,17.44,None
EV-806,806,Vetri,Tata,134309.31,1740212.84,31548.11,3014.19,67,262.78,53.64,Running,12-11-2025,10.46,Speeding
EV-386,386,Karthik,Maruti,173836.6,2310202.32,30329.49,1627.72,31,172.61,35.59,Running,08-06-2025,8.14,Harsh Braking
EV-192,192,Anand,Mahindra,29791.8,327612.6,23135.49,1883.9,16,61,0,Charging,23-09-2025,8.42,Route Deviation
EV-956,956,Geetha,BMW,453337.04,5639278.8,29710.89,2429.68,42,234.86,74.43,Running,24-10-2024,12.53,Overcharging
EV-277,277,Meena,Tesla,262176.08,3251176.08,12115.31,3001.78,60,256.56,40.93,Running,27-06-2025,15.34,None
EV-161,161,Vetri,Tata,485194.98,5589702.74,38198.21,900.53,69,381.15,0,Charging,08-05-2025,10.27,Speeding
EV-460,460,Selvam,Maruti,327515.17,3550651.14,46380.93,6583.17,94,567.25,97.09,Running,18-08-2025,5.46,Harsh Braking
EV-314,314,Ilango,Mahindra,497882.89,6226614.61,40580.49,3356.75,44,226.4,44.74,Running,03-09-2024,12.38,Route Deviation
EV-22,22,Meena,BMW,339459.6,4028211.75,31349.82,2384.96,25,136.23,66.09,Running,06-03-2025,16.45,Overcharging
EV-253,253,Kumar,Tesla,59470.06,658556.05,22874.22,4799.59,36,152.45,67.19,Running,02-08-2025,14.44,None
EV-748,748,Bala,Tata,135169.56,1442495.35,32212.18,3074.44,93,432.92,0,Charging,04-01-2025,9.16,Speeding
EV-857,857,Nithya,Maruti,442519.94,5902398.89,21035.82,1696.59,16,74.2,0,Garage,17-04-2025,13.32,Harsh Braking
EV-561,561,Ganesh,Mahindra,261483.96,3066269.51,28662.93,2549.64,93,340.26,29.01,Running,11-01-2024,7.18,Route Deviation
EV-475,475,Anitha,BMW,260653.01,3322333.06,11060.05,1076.6,30,168.52,15.81,Running,18-08-2025,11.41,Overcharging
EV-59,59,Divya,Tesla,460225.4,5020884.57,38534.01,1887.23,40,233.28,34.79,Running,09-02-2024,8.08,None
EV-511,511,Janani,Tata,53595.42,663112.67,15659.86,2248.61,20,114.62,0,Charging,26-08-2025,18.19,Speeding
EV-682,682,Shankar,Maruti,474391.77,5016740.9,23968.48,3136.89,82,464.9,58.81,Running,30-01-2025,11.56,Harsh Braking
EV-476,476,Senthil,Mahindra,216717.32,2550125.84,31160.93,3448.01,38,174.83,35.83,Running,05-11-2025,13.38,Route Deviation
EV-700,700,Kanmani,BMW,271353.17,0,26896.62,2530.58,28,112.68,38.65,Running,21-05-2025,8.21,Overcharging
EV-976,976,Latha,Tesla,134215.42,0,32171.65,2348.97,76,330.93,0,Garage,05-08-2025,17.54,None
EV-783,783,Sathish,Tata,190143.17,2352547.69,16834.92,3937.48,95,343.27,87.85,Running,17-03-2025,16.47,Speeding
EV-190,190,Nithya,Maruti,288351.26,3334634.39,6891.94,2034.58,43,256.66,44.07,Running,14-08-2025,8.39,Harsh Braking
EV-958,958,Dinesh,Mahindra,289615.26,3255744.88,30103.19,1781,68,413.62,0,Charging,18-11-2025,7.32,Route Deviation
EV-687,687,Pavithra,BMW,203286.31,2570346.81,40968.11,3493.57,81,373.68,73.01,Running,29-06-2024,7.35,Overcharging
EV-958,958,Sivakumar,Tesla,273570.65,3317303.74,35657.18,3030.74,33,159.94,48.57,Running,05-03-2025,12.4,None
EV-563,563,Kalaivani,Tata,176016.92,2179424.83,24406.48,4767.32,35,148.34,50.59,Running,11-07-2024,22.04,Speeding
EV-876,876,Vaishnavi,Maruti,0,2489604.51,43872.5,3868.36,67,388.44,0,Maintenance,02-04-2025,18.41,Harsh Braking
EV-567,567,Velu,Mahindra,323906.64,3649364.07,25010.77,2906.72,47,242.43,45.75,Running,25-05-2025,12.05,Route Deviation
EV-244,244,Elango,BMW,79945.62,899305.52,27519.09,4757.15,23,96.05,51.39,Running,11-11-2024,16.18,Overcharging
EV-832,832,Senthil,Tesla,430925.13,5807517.55,36787.83,3203.74,14,89.32,26.92,Running,12-11-2024,12.22,None
EV-505,505,Prabhu,Tata,313172.55,3914031.89,25317.19,1754.14,60,373.87,0,Charging,31-03-2025,22.28,Speeding
EV-131,131,Sivakumar,Maruti,183049.98,1976913.09,26839.29,1742.11,64,245.73,37.13,Running,17-11-2024,11.4,Harsh Braking
EV-485,485,Dinesh,Mahindra,234584.93,2915848.11,38985.41,3069.71,47,278.78,40.09,Running,30-10-2025,21.34,Route Deviation
EV-819,819,Prabhu,BMW,33030.51,357051.04,22431.65,2985.96,52,214.1,67.97,Running,06-03-2024,18.32,Overcharging
EV-647,647,Ganesh,Tesla,226563.45,2582541.24,14419.92,4741.36,44,184.77,85.43,Running,03-09-2024,11.29,None
EV-21,21,Nithya,Tata,169914.97,2215098.74,13621.23,1646.91,38,148.3,0,Charging,17-08-2024,18.51,Speeding
EV-841,841,Vetri,Maruti,339510.86,4496166.75,34052.57,4761.76,5,20.21,80.67,Running,19-09-2025,15.48,Harsh Braking
EV-167,167,Kanmani,Mahindra,287364.03,3758737.38,17397.95,2304.69,23,97.03,0,Charging,17-10-2025,16.58,Route Deviation
EV-274,274,Kalaivani,BMW,0,1865404.77,18767.5,4578.08,5,36.99,0,Charging,21-08-2025,7.02,Overcharging
EV-388,388,Anand,Tesla,148446.7,1760480.07,26029.35,2258.64,92,501.45,0,Garage,25-09-2024,18.44,None
EV-601,601,Revathi,Tata,208287.45,2340548.54,30614.36,2028.99,29,160.72,48.81,Running,10-04-2025,10.41,Speeding
EV-316,316,Anitha,Maruti,172318.59,2221946.22,30797.75,4875.45,72,283.66,34.5,Running,11-07-2025,8.28,Harsh Braking
EV-14,14,Kannan,Mahindra,217665.82,2692178.63,27137.71,4281.06,92,545.41,52.62,Running,21-05-2025,18.05,Route Deviation
EV-242,242,Balaji,BMW,23654.86,285952.19,33986.8,1952.89,88,392.53,0,Maintenance,19-10-2025,18.22,Overcharging
EV-777,777,Saravanan,Tesla,0,0,34864.1,1890.11,32,112.1,0,Garage,05-09-2025,19.59,None
EV-346,346,Janani,Tata,231932.24,2651195.9,24466.95,2704.06,49,174.45,62.69,Running,14-10-2024,19.11,Speeding
EV-565,565,Mohan,Maruti,350815.34,3941607.77,33354.75,1972.69,28,146.63,0,Garage,20-04-2024,18.15,Harsh Braking
EV-898,898,Latha,Mahindra,280058.74,3476508.95,24958.51,3512.94,48,242.12,0,Charging,04-01-2025,9.57,Route Deviation
EV-340,340,Chandran,BMW,194725.25,2401808.44,38428.22,3867.49,6,38.57,0,Garage,10-09-2024,15.34,Overcharging
EV-92,92,Anand,Tesla,12463.99,137279.84,19999.33,2898.84,27,107.53,54.26,Running,06-08-2025,12.25,None
EV-367,367,Selvi,Tata,139761.09,1606669.66,10649.51,852.38,82,330,0,Garage,29-01-2024,11.28,Speeding
EV-956,956,Nithya,Maruti,264396.89,2789665.65,28192.66,2066,66,376.55,0,Garage,17-08-2025,16.24,Harsh Braking
EV-455,455,Balaji,Mahindra,14773.51,162998.47,13021.63,5207.16,19,75.33,70.24,Running,31-07-2025,17.3,Route Deviation
EV-428,428,Sowmya,BMW,406993.94,0,44234.68,1460.07,36,195.72,0,Maintenance,20-04-2024,16.12,Overcharging
EV-509,509,Suriya,Tesla,405634.91,4718577.26,36634.05,2449.56,91,490.45,32.72,Running,17-02-2024,10.34,None
EV-776,776,Priya,Tata,205914.74,2524872.37,25644.12,3570.87,8,27.93,54.56,Running,19-03-2025,20.49,Speeding
EV-943,943,Rajesh,Maruti,205939.54,0,25644.06,1562.81,88,371.57,0,Charging,19-01-2024,8.42,Harsh Braking
EV-35,35,Prabhu,Mahindra,182501.87,1967523.33,33569.86,4226.15,35,192.47,53.35,Running,09-09-2024,5.11,Route Deviation
EV-206,206,Prakash,BMW,269851.79,3373095.22,9052.6,880.11,63,270.93,0,Garage,08-09-2025,6.01,Overcharging
EV-81,81,Lakshmi,Tesla,93663.66,1248951.71,25979.57,3013.64,75,290.11,50.74,Running,23-10-2024,4.59,None
EV-932,932,Vidya,Tata,257400.13,2913842.95,24271.74,1879.44,5,33.56,41.49,Running,07-04-2024,21.39,Speeding
EV-562,562,Balaji,Maruti,38042.01,423132.39,15540.69,1267.25,73,318.83,25.2,Running,26-12-2025,9.28,Harsh Braking
EV-872,872,Elango,Mahindra,382703.72,4980576,36294.11,3574.62,18,83.12,26.5,Running,14-03-2025,15.17,Route Deviation
EV-388,388,Ilango,BMW,247090,2795326.66,17888.06,995.68,98,551.27,0,Charging,01-09-2025,17.24,Overcharging
EV-2,2,Thenmozhi,Tesla,292333.59,3400936.38,22130.07,4331.8,27,167.15,90.92,Running,31-05-2024,20.49,None
EV-390,390,Lakshmi,Tata,27299.04,304836.43,18371.4,2869.27,75,336.14,28.69,Running,18-05-2025,16.04,Speeding
EV-566,566,Ilango,Maruti,34593.6,428470.99,23457.19,4730.19,20,83.76,43.32,Running,07-10-2025,8.39,Harsh Braking
EV-106,106,Ramya,Mahindra,208293,2468313.03,29322.97,2505.23,13,64.24,0,Charging,11-05-2024,10.04,Route Deviation
EV-772,772,Saranya,BMW,208492.8,2420538.27,32405.73,4467.29,35,164.8,41.35,Running,26-12-2024,4.46,Overcharging
EV-822,822,Kanmani,Tesla,33556.77,378595.85,22168.38,2563.61,65,402.38,0,Charging,28-11-2025,8.4,None
EV-477,477,Ramesh,Tata,140015.98,1871154.44,21497.82,3851.2,49,294.4,45.06,Running,29-12-2024,8.42,Speeding
EV-703,703,Shankar,Maruti,0,848900.31,28172.23,3371,11,73.9,97.84,Running,16-04-2025,9.29,Harsh Braking
EV-402,402,Naveen,Mahindra,179735.7,2035172.83,27369.01,2570.16,61,385.06,0,Garage,26-11-2024,19.31,Route Deviation
EV-730,730,Chandran,BMW,349314.04,4030230.75,18083.88,2535.86,68,401.12,63.96,Running,11-10-2024,15.39,Overcharging
EV-556,556,Sowmya,Tesla,442290.4,5728962.59,50000,5128.75,6,27.41,44.46,Running,14-06-2025,16.34,None
EV-162,162,Latha,Tata,196263.18,2621132.45,21360.82,884.05,10,38.14,0,Charging,25-11-2024,15.31,Speeding
EV-202,202,Shankar,Maruti,54614.97,0,33773.71,2809.17,65,248.94,53.78,Running,04-07-2024,5.24,Harsh Braking
EV-958,958,Bharathi,Mahindra,73311.82,980882.97,16730.22,2299.4,38,203.76,0,Charging,25-01-2024,13.34,Route Deviation
EV-996,996,Geetha,BMW,309757.32,4146411.33,37814.44,2477.83,21,110.39,0,Charging,23-08-2025,16.09,Overcharging
EV-270,270,Bharathi,Tesla,294155.18,3892861.32,15437.05,2364.49,30,109.04,70.21,Running,05-07-2024,19.54,None
EV-863,863,Vidya,Tata,194505.44,2578941.51,23284.25,5000.59,80,287.77,78.78,Running,09-11-2024,19.39,Speeding
EV-816,816,Kalaivani,Maruti,275493.71,3556018.54,28114.67,4780.26,24,109.65,63.6,Running,25-02-2024,8.36,Harsh Braking
EV-271,271,Suriya,Mahindra,258297.02,2944710.99,20287.36,1507.8,45,175.16,0,Garage,14-07-2025,8.58,Route Deviation
EV-456,456,Naveen,BMW,332558.3,4291327.49,18184.65,2075.06,62,357.86,0,Maintenance,09-03-2024,12.27,Overcharging
EV-462,462,Dhanalakshmi,Tesla,90030.14,1077415.93,22533.73,6924.89,58,202.82,91.52,Running,07-09-2025,11.32,None
EV-727,727,Ramya,Tata,372909.28,4520234.2,19723.39,3384.88,33,177.77,39.02,Running,16-09-2025,17.31,Speeding
EV-252,252,Bala,Maruti,444116.03,4693771.21,36329.17,3233.92,52,296.67,49.28,Running,20-04-2025,10.45,Harsh Braking
EV-702,702,Murugan,Mahindra,171550.72,2045822.21,23425.44,2776.11,99,372.1,58.69,Running,30-09-2024,22.54,Route Deviation
EV-296,296,Manikandan,BMW,172298.11,1949143.05,15811.28,1945.16,81,322.09,62.04,Running,24-01-2025,16.09,Overcharging
EV-725,725,Selvam,Tesla,225476.32,2595737.32,22749.26,3612.82,94,452.05,0,Charging,08-09-2024,8.53,None
EV-720,720,Anand,Tata,215221.94,2566816.19,10592.04,1075.96,26,101,0,Garage,25-07-2024,11.53,Speeding
EV-749,749,Geetha,Maruti,128371.73,1612823.74,24224.28,972.08,76,310.94,0,Maintenance,11-09-2025,16.08,Harsh Braking
EV-338,338,Indhu,Mahindra,459465.4,4928938.25,10277.77,2758.13,75,359.54,41.86,Running,18-07-2025,15.2,Route Deviation
EV-879,879,Elango,BMW,156553.33,1927730.23,25789.87,1744.31,9,38.58,0,Maintenance,08-07-2024,17.33,Overcharging
EV-53,53,Deepa,Tesla,269499.82,3072597.74,15784.54,1394.86,56,206.78,0,Charging,11-01-2025,11.36,None
EV-792,792,Nithya,Tata,446372.86,5794542.17,27022.78,4777.18,5,20,76.22,Running,10-08-2024,17.12,Speeding
EV-922,922,Indhu,Maruti,246076.93,3243827.17,38661.89,2983.21,49,209.64,66.65,Running,20-05-2025,11.31,Harsh Braking
EV-217,217,Selvi,Mahindra,410244.82,4430203.24,35340.78,1778.87,44,227.43,0,Charging,17-09-2025,7.47,Route Deviation
EV-764,764,Kavitha,BMW,167735.2,2201402.16,15378.56,2780.01,68,302.01,0,Maintenance,31-07-2025,7.02,Overcharging
EV-188,188,Muthu,Tesla,259452.83,3145496.74,25511.12,1679.11,15,84.35,44.34,Running,23-02-2024,21.5,None
EV-380,380,Pavithra,Tata,334645.82,3678276.58,30516.66,4502.6,56,287.83,47.36,Running,28-10-2025,5.41,Speeding
EV-493,493,Suresh,Maruti,474782.73,4998706.79,37140.12,2364.04,100,497.96,75.34,Running,16-05-2025,16.34,Harsh Braking
EV-41,41,Manikandan,Mahindra,328543.48,4045541.76,29088.05,1600.76,11,73.37,0,Maintenance,28-01-2024,21.2,Route Deviation
EV-157,157,Latha,BMW,104471.19,1263701.23,27363.1,2838.47,55,309.79,0,Maintenance,16-07-2025,12.43,Overcharging
EV-15,15,Balaji,Tesla,101261.48,1280655.43,33322.57,2676.93,97,365.87,43.42,Running,05-02-2024,17.33,None
EV-813,813,Meena,Tata,22187.39,266700.02,9420.65,2696,98,358.87,36.3,Running,23-07-2024,12,Speeding
EV-65,65,Manikandan,Maruti,426359.8,4505228.6,39803.19,1527.94,25,154.18,0,Garage,02-10-2025,20.25,Harsh Braking
EV-857,857,Sivakumar,Mahindra,134084.82,0,22264.3,2310.68,43,179.51,0,Charging,17-03-2024,11.41,Route Deviation
EV-839,839,Padma,BMW,202955.56,2643164.3,8174.58,1345.81,48,243.29,0,Maintenance,07-10-2024,7.11,Overcharging
EV-521,521,Anand,Tesla,90929.11,1059129.06,8156.31,1837.34,61,229.89,0,Garage,22-06-2024,10.43,None
EV-344,344,Kanmani,Tata,200722.27,2265474.02,8680.91,1955.04,45,263.8,31.2,Running,16-11-2024,20.4,Speeding
EV-129,129,Karthik,Maruti,184200.92,2095002.05,23257.02,1244.78,43,179,0,Charging,28-09-2025,15.5,Harsh Braking
EV-648,648,Shankar,Mahindra,0,1509097.26,30381.61,2734.3,24,93.98,16.22,Running,07-05-2024,9.15,Route Deviation
EV-472,472,Abinaya,BMW,12817.8,149339.3,22813.94,1432.61,26,92.22,0,Charging,15-01-2024,12.23,Overcharging
EV-63,63,Raja,Tesla,392011.55,0,19032.96,3126.45,33,180.11,46.52,Running,21-08-2024,14.03,None
EV-139,139,Abinaya,Tata,41954.51,448087.87,16035.37,849.47,50,215.88,0,Maintenance,04-04-2024,3.44,Speeding
EV-499,499,Kumar,Maruti,13757.79,182293.25,31889.16,3164.66,72,398.57,0,Maintenance,19-11-2024,17.17,Harsh Braking
EV-593,593,Boopathi,Mahindra,38879.73,460832.17,22237.1,2962.26,7,25.7,5,Running,24-03-2024,7.56,Route Deviation
EV-392,392,Abinaya,BMW,65790.16,820487.54,27046.09,2929.45,77,325.66,40.43,Running,08-08-2024,20.01,Overcharging
EV-675,675,Janani,Tesla,429071.44,4985661.19,39921.8,4442.01,9,60.26,101.13,Running,02-03-2024,14.42,None
EV-419,419,Gopal,Tata,228462.97,2581694.31,31630.71,1701.96,60,264.93,0,Garage,13-05-2025,5.57,Speeding
EV-289,289,Selvam,Maruti,283738.09,3059592.08,20969.57,1015.12,71,382.6,0,Charging,02-11-2025,15.55,Harsh Braking
EV-379,379,Revathi,Mahindra,411143.61,4898622.17,39784.67,2358.19,93,535.68,0,Maintenance,15-08-2024,9.23,Route Deviation
EV-773,773,Anand,BMW,172195.11,2024434.39,23977.16,4363.78,36,139.51,39.22,Running,28-07-2024,20.48,Overcharging
EV-490,490,Nandhini,Tesla,412967.81,5045212.53,38884.86,3701.48,86,405.9,69.84,Running,07-02-2025,11.24,None
EV-231,231,Kavitha,Tata,180361.99,2111249.49,14194.29,2646.72,45,167.05,59.13,Running,05-08-2025,11.24,Speeding
EV-41,41,Karthik,Maruti,416360.71,4930991,18959.18,3243.98,33,195.95,83.6,Running,25-11-2025,19.46,Harsh Braking
EV-28,28,Indhu,Mahindra,57216.87,736073.44,11088.16,3519.28,70,387.48,40.32,Running,19-05-2024,12.39,Route Deviation
EV-135,135,Priya,BMW,100865.87,1097486.25,30122.03,1910.89,15,56.84,0,Garage,12-05-2024,17.21,Overcharging
EV-201,201,Bhuvana,Tesla,65182.43,764147.42,17303.64,2697.23,63,266.54,55.91,Running,23-09-2024,14.43,None
EV-840,840,Vijay,Tata,278601.87,3041968.44,16065.03,1977.46,99,420.49,0,Garage,01-01-2025,14.29,Speeding
EV-780,780,Manikandan,Maruti,144606.16,1924988.83,15391.88,3671.99,8,43.07,49.67,Running,22-04-2025,1.36,Harsh Braking
EV-930,930,Kalaivani,Mahindra,113758.03,1477338.39,31382.27,2655.37,97,371.92,56.51,Running,04-11-2024,9.02,Route Deviation
EV-33,33,Yogesh,BMW,222646.07,2903508.72,30416.3,2249.55,58,243.73,32.5,Running,02-06-2025,12.01,Overcharging
EV-48,48,Mani,Tesla,110607.74,1206879.55,25104.71,2936.29,71,261.45,42.04,Running,11-02-2025,9.43,None
EV-503,503,Rajesh,Tata,261729.5,3435459.08,32986.22,3316.62,6,20,0,Garage,27-07-2025,13.07,Speeding
EV-407,407,Mani,Maruti,205946.59,2250909.33,21672.79,4206.46,82,373.86,27.46,Running,22-12-2025,20.1,Harsh Braking
EV-574,574,Thenmozhi,Mahindra,22749.58,270673.25,22364.34,4437.23,52,277.75,31.92,Running,01-12-2024,16.17,Route Deviation
EV-728,728,Dinesh,BMW,362468.95,3914725.17,39592.63,1707.34,72,424.35,0,Charging,08-07-2024,21.57,Overcharging
EV-805,805,Dinesh,Tesla,394018.47,5236642.68,16433.38,982.52,48,244.59,0,Maintenance,31-01-2025,14.34,None
EV-99,99,Bhuvana,Tata,282863.85,3804880.29,18943.62,3439.2,66,284.28,57.43,Running,05-08-2024,12.11,Speeding
EV-684,684,Elango,Maruti,97796.25,1151043.83,23851.49,4039.63,98,444.59,93.24,Running,11-07-2024,17.49,Harsh Braking
EV-872,872,Latha,Mahindra,404345.91,5397189.37,31241.41,4745.55,87,537.3,75.96,Running,26-09-2025,20.47,Route Deviation
EV-726,726,Vignesh,BMW,168234.3,1813314.29,27482.81,5308.62,23,102.13,60.06,Running,17-07-2025,7.21,Overcharging
EV-987,987,Vignesh,Tesla,14810.86,195976.69,25923.58,4248.95,48,227.45,43.94,Running,07-06-2025,19.54,None
EV-547,547,Vani,Tata,273232.81,3151219.09,15545.37,1344.27,35,227.57,0,Garage,26-03-2024,9.23,Speeding
EV-961,961,Pavithra,Maruti,232267.08,2904088.6,19998.88,1808.78,66,370.42,25.17,Running,29-05-2025,21.17,Harsh Braking
EV-739,739,Mohan,Mahindra,260317.4,3012728.07,15139.21,1676.97,19,79.92,26.86,Running,18-01-2025,19.16,Route Deviation
EV-613,613,Shankar,BMW,123922.72,0,15198.36,1926.82,33,138.5,54.42,Running,23-10-2025,15.11,Overcharging
EV-943,943,Kavitha,Tesla,292900.25,3276900.21,11583.67,645.97,71,395.43,0,Garage,12-03-2025,2.59,None
EV-462,462,Janani,Tata,92047.27,1139093.07,34274.15,4744.55,87,346.47,94.14,Running,03-05-2024,10.33,Speeding
EV-643,643,Geetha,Maruti,0,255354.27,15567.01,2667.85,90,373.24,68.45,Running,05-05-2025,10.25,Harsh Braking
EV-769,769,Ilango,Mahindra,0,3666375.31,31327.85,2989.2,51,300.6,59.4,Running,10-10-2024,8.29,Route Deviation
EV-5,5,Nandhini,BMW,229514.99,2712310.29,34237.56,3211.84,88,518.94,100.3,Running,12-07-2025,17.37,Overcharging
EV-218,218,Gopal,Tesla,290770.64,3488623.52,33037.19,5888.89,11,34.33,57.25,Running,21-12-2024,20.25,None
EV-503,503,Yogesh,Tata,324790.47,3815619.12,32064.51,4575.83,72,437.9,65.76,Running,02-08-2025,13.12,Speeding
EV-767,767,Vidya,Maruti,309352.7,3312956.43,29514.31,4460.66,5,34.3,98.32,Running,14-09-2024,21.08,Harsh Braking
EV-398,398,Revathi,Mahindra,151635.46,1950390.09,31393.79,5370.93,75,355.68,74.47,Running,11-10-2024,13.22,Route Deviation
EV-871,871,Uma,BMW,65337.3,816255.68,27141.52,3489.05,26,106.98,64.57,Running,16-05-2024,14.52,Overcharging
EV-795,795,Jayanthi,Tesla,169447.69,2125457.67,20032.94,1217.88,61,257.26,0,Maintenance,23-02-2024,7.52,None
EV-393,393,Vasanthi,Tata,302905.71,3227285.02,35933.13,2354.39,98,458.86,7.07,Running,11-11-2025,13.39,Speeding
EV-207,207,Sathish,Maruti,113206.71,1451133.53,30614.76,1030.92,77,296.31,0,Garage,07-09-2024,19.18,Harsh Braking
EV-15,15,Chandran,Mahindra,297257.48,3813152.34,16717.62,4025.86,62,382.26,84.03,Running,12-05-2025,15.11,Route Deviation
EV-858,858,Suriya,BMW,214626.03,2765208.27,12000.82,684.91,31,135.35,0,Charging,07-03-2024,16.4,Overcharging
EV-554,554,Elango,Tesla,0,6053252.45,28279.67,1539.78,42,227.28,28.78,Running,16-03-2024,9.15,None
EV-892,892,Meena,Tata,215954.66,2600840.17,25249.05,2948.23,91,425.91,20.49,Running,02-12-2025,10.4,Speeding
EV-461,461,Vijay,Maruti,158564.32,2080074.12,15954.02,2844.9,80,398.18,0,Charging,09-05-2025,6.08,Harsh Braking
EV-691,691,Chitra,Mahindra,55871.64,684280.31,32099.52,3510.62,17,63.47,0,Charging,18-06-2024,19.43,Route Deviation
EV-575,575,Pavithra,BMW,280589.86,3024323.41,12279.16,2968.87,19,72.59,0,Maintenance,03-06-2025,18.34,Overcharging
EV-864,864,Prabhu,Tesla,239777.09,2768335.11,37814.71,3168.99,84,364.03,0,Charging,07-01-2024,22.47,None
EV-743,743,Chitra,Tata,159746.84,2019115.92,26166.64,4670.56,77,316.35,60.74,Running,16-05-2024,16.36,Speeding
EV-241,241,Suriya,Maruti,392141.82,4601092.57,31933.2,2377.5,95,505.64,66.68,Running,06-07-2024,19.54,Harsh Braking
EV-564,564,Karthik,Mahindra,331323.93,4274344.09,27046.8,4216.84,52,289.78,33.99,Running,16-05-2025,12.17,Route Deviation
EV-96,96,Saravanan,BMW,122162.78,1453951.05,21368.75,3891.87,19,90.7,24.61,Running,20-01-2025,9.5,Overcharging
EV-900,900,Rajesh,Tesla,53473.14,623276.29,21361.22,1590.03,44,202.83,0,Charging,07-05-2025,1.25,None
EV-734,734,Prabhu,Tata,266966.85,3082951.88,15701.2,2230.02,34,208.75,10.68,Running,02-04-2024,7.53,Speeding
EV-485,485,Elango,Maruti,273430.31,3129374.53,25893.9,2101.85,27,154.6,0,Garage,07-08-2024,13.55,Harsh Braking
EV-407,407,Prakash,Mahindra,270131.56,3224831.79,22270.85,2188.8,13,61.17,44.52,Running,27-07-2025,20.14,Route Deviation
EV-231,231,Kavya,BMW,204467.84,2514479.5,21283.74,3500.6,36,162.52,48.72,Running,04-01-2024,8.55,Overcharging
EV-749,749,Saravanan,Tesla,395177.87,5245743.41,16927.25,2177.9,39,221.25,26.83,Running,24-04-2025,0.12,None
